National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2023-24 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (115) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_PACISL_PCT,PSS_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8,PSS_ASSOC_9,PSS_ASSOC_10,PSS_ASSOC_11,PSS_ASSOC_12,PSS_ASSOC_13,PSS_ASSOC_14,PSS_ASSOC_15
A1902951,AARON SCHOOL K - 12,13,17,42 E 30TH ST,NEW YORK,36061,061,NY,36,10016,2128679594,166,6,Yes,,,,,,,,,,,17,15,18,12,17,79,79,0,3,25,21,29,0,1,15,11,1,4,2,3,1,0,3.79,31.64,26.58,36.7,0,1.26,5.26,30,NEW YORK,State or regional independent school association,Other school association(s),,,,,,,,,,,,,
00921917,ACADEMY OF ST JOSEPH,2,13,111 WASHINGTON PL,NEW YORK,36061,061,NY,36,10014,2122435420,173,7,Yes,,2,7,4,11,5,13,13,11,10,20,,,,,96,94,1,3,22,4,45,0,19,12,11,1,1,1,1,1,1.06,3.19,23.4,4.25,47.87,0,20.21,7.83,1,NEW YORK,Other school association(s),,,,,,,,,,,,,,
00938272,ALEXANDER ROBERTSON SCHOOL,3,10,3 W 95TH ST,NEW YORK,36061,061,NY,36,10025,2126636441,182,5,Yes,,,11,11,12,12,5,10,,,,,,,,61,61,0,8,3,17,22,2,9,18.1,11,1,1,1,3,1,0,13.11,4.91,27.86,36.06,3.27,14.75,3.37,30,NEW YORK,State or regional independent school association,,,,,,,,,,,,,,
00939298,BANK STREET SCHOOL FOR CHILDREN,2,13,610 W 112TH ST,NEW YORK,36061,061,NY,36,10025,2128754420,163,6.5,Yes,,44,44,39,44,56,45,42,37,27,35,,,,,413,369,0,23,61,40,146,0,99,64,11,1,1,1,3,1,0,6.23,16.53,10.84,39.56,0,26.82,5.76,30,NEW YORK,National Association of Independent Schools (NAIS),State or regional independent school association,,,,,,,,,,,,,
A2370856,BASIS INDEPENDENT MANHATTAN-UPPER SCHOOL,11,17,556 W 22ND ST,NEW YORK,36061,061,NY,36,10011,9173832600,180,7.41,No,,,,,,,,,46,33,41,28,12,11,13,184,184,1,55,11,3,84,0,30,25.4,11,1,1,3,3,1,0.54,29.89,5.97,1.63,45.65,0,16.3,7.24,30,NEW YORK,State or regional independent school association,,,,,,,,,,,,,,
A1990549,BATTERY PARK MONTESSORI,2,3,21 S END AVE,NEW YORK,36061,061,NY,36,10280,7189251873,180,6,Yes,,64,4,,,,,,,,,,,,,68,4,0,,,,,0,,14.4,11,1,2,1,3,1,0,,,,,0,,0.27,30,NEW YORK,American Montessori Society (AMS),Association Montessori International (AMI),Other Montessori association(s),Other school association(s),,,,,,,,,,,
A9303881,BEIT RABBAN DAY SCHOOL,2,13,270 W 89TH ST,NEW YORK,36061,061,NY,36,10024,2125951386,180,7.5,Yes,,28,16,14,16,14,12,10,10,8,14,,,,,142,114,0,,,0,,0,0,23,11,1,1,1,2,1,0,,,0,,0,0,4.95,18,NEW YORK,,,,,,,,,,,,,,,
00936355,BETH JACOB PAROCHIAL SCHOOL,2,13,142 BROOME ST,NEW YORK,36061,061,NY,36,10002,2124734500,170,6.83,Yes,,6,16,12,21,12,17,18,12,16,22,,,,,152,146,0,0,0,0,145,0,1,16,11,2,1,1,2,1,0,0,0,0,99.31,0,0.68,9.12,18,NEW YORK,National Society for Hebrew Day Schools (Torah Umesorah),,,,,,,,,,,,,,
A0902269,BRITISH INTERNATIONAL SCHOOL OF NY,2,17,20 WATERSIDE PLZ LBBY 1,NEW YORK,36061,061,NY,36,10010,2124812700,170,7.5,Yes,,28,9,17,11,18,21,22,31,32,27,24,27,12,11,290,262,1,34,14,15,161,2,35,53.4,11,1,1,3,3,1,0.38,12.97,5.34,5.72,61.45,0.76,13.35,4.9,30,NEW YORK,Other special emphasis association(s),State or regional independent school association,,,,,,,,,,,,,
X0938239,CALHOUN SCHOOL,2,17,433 W END AVE,NEW YORK,36061,061,NY,36,10024,2124976500,163,6.75,Yes,,42,21,28,36,29,25,34,36,47,48,68,75,63,68,620,578,,,,,,0,,90.8,11,1,2,3,3,1,,,,,,0,,6.36,30,NEW YORK,American Montessori Society (AMS),Other Montessori association(s),National Association of Independent Schools (NAIS),State or regional independent school association,,,,,,,,,,,
