Student Survey,"","","","","","","","","","","","","","",Employee Survey,"","","","","","","","","","","","","","","","","","","","","","","","","","","",Guardian Surveys,"","","","","","","","","","","","","","","","","","","","","","","",""
Name,NYC School Survey 2025 - 2025 NYC School Survey: Students,Academic Press,Conflict Resolution,Course Clarity,Cultural Awareness and Inclusive Classroom Instruction,Guidance,Inclusive Leadership,Inclusive Learning Environment,Personal Attention and Support,Preventing Bullying,Safety,School Facilities and Services,Skills For Success,Student-Student Trust,Student-Teacher Trust,2025 NYC School Survey: Teacher,Academic Press,Building Families' Capacity as their Child's Primary Advocate,Building Families' Capacity as their Child's Primary Teacher,Classroom Behavior,Conflict Resolution,Cultural Awareness and Inclusive Classroom Instruction,Early Childhood Instruction,Guidance,Inclusive Learning Environment,Innovation and Collective Responsibility,Instructional Leadership,Outreach to Parents,Peer Collaboration,Preventing Bullying,Program Coherence,Quality of Professional Development,Quality of Student Discussion,Safety,School Commitment,School Facilities and Services,Skills For Success,Strong Core Instruction,Strong Relationships,Teacher Influence,Teacher-Principal Trust,Teacher-Teacher Trust,Two-Way Communication,NYC School Survey 2025 - Family,Building Families' Capacity as their Child's Primary Advocate,Building Families' Capacity as their Child's Primary Teacher,Family Satisfaction with Child's Education,IEP Service Satisfaction,Inclusive Leadership,Outreach to Parents,Parent Involvement in School,Parent-Principal Trust,Parent-Teacher Trust,School Facilities and Services,Strong Relationships,NYC School Survey 2025 - Family,Building Families' Capacity as their Child's Primary Advocate,Building Families' Capacity as their Child's Primary Teacher,Conflict Resolution,Family Satisfaction with Child's Education,IEP Service Satisfaction,Inclusive Leadership,Outreach to Parents,Parent Involvement in School,Parent-Principal Trust,Parent-Teacher Trust,School Facilities and Services,Strong Relationships
01M034 - P.S. 034 Franklin D. Roosevelt,,62.0,68.0,68.0,85.0,79.0,87.0,67.0,65.0,53.0,86.0,60.0,59.0,54.0,77.0,,85.0,,,50.0,76.0,83.0,89.0,79.0,95.0,68.0,89.0,93.0,76.0,20.0,75.0,81.0,58.0,87.0,71.0,93.0,75.0,75.0,,49.0,78.0,83.0,,,,,,,,,,,,,,,89.0,100.0,97.0,91.0,91.0,94.0,95.0,93.0,93.0,97.0,87.0,100.0
01M140 - P.S. 140 Nathan Straus,,80.0,67.0,78.0,78.0,95.0,86.0,75.0,73.0,62.0,79.0,79.0,73.0,77.0,67.0,,87.0,,,58.0,70.0,90.0,,93.0,91.0,76.0,92.0,96.0,91.0,32.0,83.0,87.0,63.0,86.0,77.0,83.0,81.0,88.0,,62.0,90.0,81.0,,,,,,,,,,,,,,,,,83.0,87.0,87.0,92.0,86.0,86.0,92.0,92.0,80.0,
01M184 - P.S. 184m Shuang Wen,,63.0,73.0,78.0,83.0,78.0,86.0,86.0,68.0,71.0,89.0,65.0,59.0,82.0,82.0,,91.0,,,86.0,86.0,95.0,100.0,98.0,97.0,69.0,84.0,99.0,77.0,71.0,83.0,80.0,77.0,92.0,79.0,79.0,86.0,95.0,,58.0,80.0,82.0,,,,,,,,,,,,,,,68.0,91.0,98.0,94.0,92.0,97.0,94.0,92.0,96.0,98.0,89.0,100.0
01M188 - P.S. 188 The Island School,,99.0,99.0,99.0,99.0,100.0,100.0,100.0,99.0,94.0,100.0,99.0,97.0,99.0,100.0,,97.0,,,91.0,100.0,100.0,,100.0,99.0,99.0,100.0,100.0,98.0,90.0,98.0,100.0,98.0,100.0,97.0,98.0,99.0,100.0,,98.0,99.0,98.0,,,,,,,,,,,,,,,92.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
01M292 - Orchard Collegiate Academy,,61.0,84.0,76.0,91.0,86.0,92.0,94.0,73.0,63.0,89.0,74.0,64.0,81.0,87.0,,89.0,,,61.0,88.0,94.0,,96.0,99.0,77.0,93.0,91.0,93.0,58.0,90.0,90.0,64.0,,83.0,88.0,82.0,,,66.0,95.0,96.0,,,,,,,,,,,,,,,,,,89.0,86.0,94.0,91.0,81.0,96.0,92.0,86.0,
01M332 - University Neighborhood Middle School,,72.0,87.0,80.0,93.0,89.0,96.0,97.0,79.0,56.0,90.0,58.0,68.0,71.0,88.0,,95.0,,,80.0,95.0,98.0,,100.0,99.0,95.0,96.0,100.0,97.0,67.0,93.0,93.0,81.0,,95.0,97.0,95.0,99.0,,83.0,99.0,95.0,,,,,,,,,,,,,,,,,,97.0,98.0,98.0,95.0,94.0,99.0,96.0,85.0,
01M378 - School for Global Leaders,,69.0,79.0,79.0,89.0,80.0,90.0,96.0,76.0,69.0,90.0,60.0,65.0,70.0,89.0,,85.0,,,75.0,100.0,95.0,,98.0,99.0,95.0,99.0,100.0,98.0,61.0,94.0,89.0,77.0,,94.0,90.0,96.0,100.0,,70.0,99.0,94.0,,,,,,,,,,,,,,,,,,98.0,90.0,98.0,95.0,91.0,97.0,97.0,92.0,
01M448 - University Neighborhood High School,,74.0,93.0,87.0,94.0,90.0,95.0,96.0,85.0,87.0,91.0,85.0,71.0,93.0,92.0,,90.0,,,80.0,95.0,98.0,,97.0,96.0,92.0,91.0,97.0,96.0,95.0,97.0,89.0,78.0,,93.0,99.0,91.0,97.0,,87.0,89.0,96.0,,,,,,,,,,,,,,,,,,96.0,93.0,99.0,96.0,82.0,99.0,98.0,91.0,
01M450 - East Side Community School,,73.0,84.0,85.0,93.0,86.0,94.0,93.0,81.0,65.0,91.0,70.0,65.0,83.0,87.0,,94.0,,,76.0,100.0,97.0,,99.0,98.0,85.0,93.0,100.0,98.0,49.0,88.0,78.0,75.0,,97.0,81.0,94.0,97.0,,90.0,99.0,96.0,,,,,,,,,,,,,,,,,,94.0,95.0,97.0,94.0,93.0,96.0,94.0,89.0,
